Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,"Population, total",8622466,8790140,8969047,9157465,9355514,9565147,9783147,10010030,10247780,10494489,10752971,11015857,11286753,11575305,11869879,12157386,12425267,12687301,12938862,12986369,12486631,11155195,10088289,9951449,10243686,10512221,10448442,10322758,10383460,10673168,10694796,10745167,12057433,14003760,15455555,16418912,17106595,17788819,18493132,19262847,19542982,19688632,21000256,22645130,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771
Afghanistan,Population growth (annual %),,1.925951611,2.014878863,2.078996627,2.139650844,2.216006921,2.253524012,2.29263789,2.347350643,2.378916547,2.433182625,2.415369174,2.429395693,2.524421237,2.513006529,2.393287152,2.179517436,2.086951126,1.96337689,0.366492805,-3.924171694,-11.27532433,-10.05300625,-1.365707744,2.894334707,2.587696933,-0.608560873,-1.210190398,0.586318312,2.751877293,0.202433956,0.469880407,11.52252442,14.96445487,9.864262066,6.046535552,4.10302205,3.910605219,3.882930605,4.077879485,1.443803024,0.742516834,6.449321478,7.541018965,3.933177688,3.576508004,4.139678035,1.793195727,2.002333262,3.561288374,2.894904104,3.689508302,4.077627729,3.466788304,3.657576065,3.121341229,2.581549399,2.866492148,2.885207973,2.908529093,3.134746908,2.851357654,2.534498317
Afghanistan,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,"Prevalence of underweight, weight for age (% of children under 5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9,,,,,,,31.7,,,,,,,,,24.6,,,,,19.1,,,,
Afghanistan,"Community health workers (per 1,000 people)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,"Mortality rate, under-5 (per 1,000 live births)",357.3,351.7,345.8,340.2,334.8,329.4,323.9,318.4,312.8,307.2,301.9,296.4,290.7,285.2,279.6,274,268.3,262.4,256.4,250.3,243.8,237.3,230.8,224.2,217.7,211.1,204.6,197.9,191.4,184.9,178.5,172.2,166.3,160.8,155.5,150.6,146,141.6,137.3,133.3,129.3,125.3,121.2,117,112.8,108.6,104.3,100,95.9,91.8,87.8,84,80.3,76.8,73.4,70.2,67.2,64.6,62.2,59.9,57.8,55.7,
Afghanistan,"Primary completion rate, total (% of relevant age group)",,,,,,,,,,,,,,,17.98686981,,,18.96799088,20.6745491,,27.66419983,35.88290024,,,21.75962067,20.99748039,,,,,,,,34.17082977,,,,,,,,,,,,,,,,,,,,,,,82.91046143,87.25332642,88.73551941,86.17552185,,,
Afghanistan,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,,,,,,0.167199999,0.161200002,0.160840005,0.168740004,0.166950002,0.173899993,0.180629998,0.192279994,0.198829994,,,0.242229998,0.483579993,,0.469949991,0.476029992,0.530939996,,0.499659985,,,0.537060022,,0.361770004,0.432000011,0.474040002,,,,,,0,,0.544260025,0.405820012,0.547689974,0.573230028,0.567200005,0.586019993,0.609610021,0.625810027,0.663450003,0.669250011,0.655330002,0.654020011,0.642329991,0.645669997,0.641690016,0.636020005,,,,
Afghanistan,"Agriculture, forestry, and fishing, value added (% of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.62789186,37.41885544,29.72106714,31.11485491,28.63596858,30.10501136,24.89227001,29.29750105,26.21006854,23.74366399,24.39087363,22.81066274,22.13704137,20.63432272,25.74031404,26.42019908,22.04289675,25.77397074,26.82060011,33.48449898,
Afghanistan,CPIA public sector management and institutions cluster average (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.2,2.2,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.6,,1.7
Afghanistan,Ease of doing business rank (1=most business-friendly regulations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,
Afghanistan,Terrestrial and marine protected areas (% of total territorial area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10470704,0.104707035,0.104707035,0.104707035,3.637256595,3.637256595,3.637256595
Afghanistan,Marine protected areas (% of territorial waters),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Terrestrial protected areas (% of total land area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.104707035,0.104707035,0.104707,3.637257,3.637256622,3.6372566
Afghanistan,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,,,,,22.69353128,25.41730293,28.14107458,30.86484624,33.58861789,36.31238954,39.03616119,41.75993284,44.48370449,47.20747614,49.93124779,52.65501944,55.37879109,54.25489251,53.13099393,52.00709534,50.88117376,49.75676942,48.63236509,47.50796076,46.38355642,45.25915209,44.13474775,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,,
Afghanistan,"Annual freshwater withdrawals, total (billion cubic meters)",,,,,,,,,,,,,,,,10.7,11.98425833,13.26851667,14.552775,15.83703333,17.12129167,18.40555,19.68980833,20.97406667,22.258325,23.54258333,24.82684167,26.1111,25.58118182,25.05126364,24.52134545,23.99047343,23.46031678,22.93016014,22.4000035,21.86984685,21.33969021,20.80953357,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,,
Afghanistan,Population in urban agglomerations of more than 1 million (% of total population),3.309401278,3.416999047,3.52520173,3.634510206,3.745192407,3.855758829,3.968375411,4.076780989,4.180056559,4.284010398,4.38847087,4.496272964,4.682551306,4.951584429,5.23725642,5.546044191,5.886271901,6.251747318,6.648876849,7.179743622,7.830967376,9.191582935,10.65822956,11.33056101,11.54369628,11.79542363,12.44490805,13.16048482,13.67024094,13.89386919,14.48667184,15.06441919,14.02689113,12.61739704,11.94412624,11.74678322,11.78014093,11.8349172,11.89395609,11.93000702,12.28629797,12.7407379,12.47986691,12.09161087,12.03241498,11.90100884,11.70533174,11.78621211,11.84326799,11.71570945,11.66741138,11.52735103,11.34524275,11.23365943,11.10235263,11.03157631,11.02095561,10.97901722,10.93519127,10.89246643,10.83215407,10.81253908,10.83884077
Afghanistan,Population living in areas where elevation is below 5 meters (% of total population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,
Afghanistan,Rural population living in areas where elevation is below 5 meters (% of total population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,
Afghanistan,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.059290169,,,,,,,,,,,,,
Afghanistan,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Disaster risk reduction progress score (1-5 scale; 5=best),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,SF6 gas emissions (thousand metric tons of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,PFC gas emissions (thousand metric tons of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Nitrous oxide emissions (% change from 1990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.280085503,-1.061910966,0.67150584,-5.595280396,-0.475006063,7.299707281,15.63932928,21.27939178,31.01526765,20.68154515,11.30550526,22.79544057,21.42828943,21.98439959,24.14454352,24.66794132,26.27761516,27.25560199,21.57605906,22.13668127,23.35804809,24.5794149,,,,,,,,,,
Afghanistan,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2841.412942,2930.139362,2886.076981,2926.0506,2758.94402,2878.304839,3117.90515,3427.95266,3724.143171,4000.904081,3477.594592,3073.603798,3555.745804,3693.63821,3666.140617,3823.075223,3662.061409,3595.066596,3880.009782,4157.353969,4578.781155,4684.088792,4723.347029,4774.904066,5089.099104,5057.086341,5043.515513,5263.964085,4670.406457,4647.418829,4863.386801,,
Afghanistan,Methane emissions (% change from 1990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.976718697,-3.173352492,-2.001814468,0.515891017,3.385870748,12.90186403,20.79322669,27.17231415,35.11362713,23.02958474,13.62057166,30.17798568,35.69965835,37.93890067,40.26336007,42.50784653,44.86508172,47.15545429,50.73326009,76.90145498,78.67046953,80.43948408,,,,,,,,,,
Afghanistan,Methane emissions (kt of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6735.57274,7018.87361,7124.43448,7209.86285,7462.89122,7825.029591,8671.811366,9396.953142,9959.927417,10782.37169,9560.365968,8347.272951,10195.37243,10506.94192,10500.3189,10731.72838,11176.055,11610.47661,12904.92073,13385.46484,15196.10646,15500.4959,15631.98785,15823.11729,16300.02674,15943.92618,15813.33064,15597.86259,15919.02455,15679.104,16222.03596,,
Afghanistan,HFC gas emissions (thousand metric tons of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Total greenhouse gas emissions (% change from 1990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.763668654,-9.239797856,-9.07678961,-9.876490025,-7.122892119,-0.176290477,6.507283096,10.1001663,18.23392793,8.005549003,0.458057347,10.49425182,17.41590538,16.97281848,17.89786755,18.52761688,21.90782954,22.03668154,24.15716007,42.01234411,43.5287644,,,,,,,,,,,
Afghanistan,Total greenhouse gas emissions (kt of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11630.79506,11899.99328,11548.26269,11678.75561,11733.04832,12181.31843,13231.10066,14216.88009,15063.73502,15980.73034,14205.32527,12604.75975,15255.39353,15961.0327,15572.01238,16635.76076,17264.16633,18218.84691,21349.18799,24313.53007,28585.90265,32446.46096,30928.57237,30430.30008,31165.8158,31619.07371,30864.98363,31750.55044,32580.49106,32736.76917,31119.04539,,
